index,Country,Area,Location,LAT,LONG,methode
0,USA,Maui,,20.802956799999997,-156.31068331602177,area
1,BAHAMAS,Exumas,,24.5944262,-76.8097657,area
2,AUSTRALIA,New South Wales,Windang Beach,-34.5368388,150.87160012550552,locatie
3,NEW ZEALAND,Southland,Oreti Beach,-46.4387778,168.2305268,locatie
4,USA,North Carolina,"Rodanthe, Dare County",35.5935134,-75.4679358,locatie
5,THAILAND,Phang Nga Province,Nang Thong Beach,8.63804475,98.24593319313522,locatie
6,AUSTRALIA,Queensland,North West Island,-23.29589265,151.70825447669318,locatie
7,AUSTRALIA,Western Australia,Cull Island / Esperance,-33.921172850000005,121.90311863665566,locatie
8,NEW CALEDONIA,,Calana,-17.9388968,-70.1862051,locatie
9,AUSTRALIA,Western Australia,Esperance,-33.858228,121.8931606,locatie
10,AUSTRALIA,Queensland,North West Island,-23.29589265,151.70825447669318,locatie
11,SEYCHELLES,Praslin,Amitié Beach,-4.3246775,55.6995921,locatie
12,PAPUA NEW GUINEA,Central Province,Ragelapara reef,-10.0,148.0,countryarea
13,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",-32.2171831,26.6386401,countryarea
14,NEW ZEALAND,Southland,Oreti Beach,-46.4387778,168.2305268,locatie
15,USA,California,"Santa Rosa Island, Ventura County",36.7014631,-118.755997,countryarea
16,AUSTRALIA,New South Wales,Shellharbour,-34.58647365,150.76933361796068,locatie
17,REUNION ISLAND,,,alleen land bekend,alleen land bekend,error
18,AUSTRALIA,Western Australia,Exmouth,50.6190962,-3.4146801,locatie
19,USA,Hawaii,"Cove Park, Kihei, Maui",19.593801499999998,-155.42837009716908,countryarea
20,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
21,AUSTRALIA,Queensland,Bargara,-24.8154799,152.4630414,locatie
22,AUSTRALIA,Queensland,"Elliot Head, near Bundaberg.",-22.1646782,144.5844903,countryarea
23,MEXICO,Guerrero,Off Barra Vieja,17.666667,-100.0,countryarea
24,ISRAEL,,Haifa,32.8191218,34.9983856,locatie
25,FRENCH POLYNESIA,Moorea,Afareitu Lagoonarium.,-17.533306000000003,-149.83860061183017,countryarea
26,USA,Florida,"Cocoa Beach, Brevard County",28.3194741,-80.6102592,locatie
27,MEXICO,Baja,Magdalena Bay,24.6249712,-111.9736021,locatie
28,SOUTH AFRICA,Eastern Cape Province,East London,-33.0191604,27.8998573,locatie
29,REUNION ISLAND,Saint-Gilles,L’Hermitage Lagoon,error,error,error
30,AUSTRALIA,Queensland,"Off Airlie Beach, Whitsundays",-22.1646782,144.5844903,countryarea
31,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
32,FRENCH POLYNESIA,Moorea,Opunohu Bay,-17.5031069,-149.8565782,locatie
33,AUSTRALIA,Queensland,"Woorim Beach, Bribie Island,",-26.9925658,153.14713569381456,locatie
34,USA,Florida,"Fort Pierce, St. Lucie County",27.4467056,-80.3256056,locatie
35,AUSTRALIA,New South Wales,Lighthouse Beach,43.3408935,-77.7644529,locatie
36,USA,Florida,"Fort Pierce, St. Lucie County",27.4467056,-80.3256056,locatie
37,USA,Guam,Talofofo Bay,13.3375318,144.7669229,locatie
38,AUSTRALIA,Northern Territory,"Nightcliff Jetty, Darwin",-12.37892635,130.84192557627514,locatie
39,USA,Hawaii,"Kihei, South Maui",20.7442225,-156.44711701440357,locatie
40,USA,Florida,"Huguenot Park, Jacksonville, Duval County",30.2730195,-81.3878613,locatie
41,USA,Florida,"Satellite Beach, Brevard County",28.1761233,-80.5900519,locatie
42,USA,Hawaii,"Haleiwa, Oahu",19.593801499999998,-155.42837009716908,countryarea
43,USA,South Carolina,"Isle of Palms,Charleston County",32.7867697,-79.7880359,locatie
44,AUSTRALIA,Western Australia,"Burns Beach, Perth",-25.2303005,121.0187246,countryarea
45,USA,Cayman Islands,Grand Cayman,19.3298691,-81.17122907994889,locatie
46,USA,Florida,"Jacksonville Beach, Duval County",30.2946859,-81.3931396,locatie
47,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
48,USA,Florida,"Fort Lauderdale, Broward County",26.1223084,-80.1433786,locatie
49,USA,Hawaii,"Napoopoo Park in Kealakekua Bay, The Big Island",19.593801499999998,-155.42837009716908,countryarea
50,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
51,USA,Hawaii,"Makaha Beach, Oahu",19.593801499999998,-155.42837009716908,countryarea
52,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
53,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
54,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
55,USA,Florida,Off Key Biscayne,27.7567667,-81.4639835,countryarea
56,USA,North Carolina,"Off Cape Hatteras, Dare County",35.6729639,-79.0392919,countryarea
57,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
58,AUSTRALIA,Queensland,Magra Islet,-27.68325255,153.2429228359166,arealoc
59,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
60,USA,Florida,"Jacksonville Beach, Duval County",30.2946859,-81.3931396,locatie
61,USA,Rhode Island,"Moonstone Beach, South Kingstown, Washington County",41.3839,-71.57235,locatie
62,USA,Florida,"Haulover Inlet, Miami-Dade County",25.9041626,-80.1262252,locatie
63,NEW ZEALAND,Chatham Islands,Pitt Island or Chatham Island,-44.288153550000004,-176.2213429218085,countryarea
64,USA,North Carolina,"Sunset Beach, Brunswick County",33.880728,-78.512231,locatie
65,USA,Florida,"Amelia Island, Nassau County",30.6077379,-81.4600909,locatie
66,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",-33.6011399,26.9010924,locatie
67,AUSTRALIA,Queensland,"Pelican Waters, Caloundra",-26.82256385,153.1090733569064,locatie
68,MEXICO,Quinta Roo,Cabo Catoche,21.1577882,-86.8455342,locatie
69,BAHAMAS,Abaco Islands,Great Guana Cay,24.0888191,-76.3911591,locatie
70,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
71,BAHAMAS,Lucayan Archipelago,Rose Island,25.105065850000003,-77.15528898454684,locatie
72,USA,North Carolina,"Bald Head Island, Brunswick County",33.8598511,-77.9895326,locatie
73,USA,Georgia,"Wilmington River, Chatham County",32.0487979,-81.0323281,locatie
74,USA,North Carolina,"Ocean Isle, Brunswick County",33.8943393,-78.426672,locatie
75,AUSTRALIA,Tasmania,Maatsuyker Island,-43.653292750000006,146.27596025649763,locatie
76,AUSTRALIA,New South Wales,Lennox Head,-28.7910334,153.5878047,locatie
77,USA,North Carolina,"Fort Macon State Beach, Carteret County",34.69855035,-76.69232011389579,locatie
78,NEW CALEDONIA,Bélep Islands,Cook Reef,-17.0542997,168.27513808830548,locatie
79,USA,Hawaii,"Honokowai Point, Maui",20.9481316,-156.6919043,locatie
80,NEW CALEDONIA,Noumea,Port South Marina,-34.7404879,135.8713438,locatie
81,USA,New Jersey,"Ship Bottom, Ocean County",39.6496005,-74.1757169,locatie
82,USA,Hawaii,"Browns, Oahu",19.593801499999998,-155.42837009716908,countryarea
83,AUSTRALIA,Queensland,Yandaran Beach,-22.1646782,144.5844903,countryarea
84,REUNION ISLAND,,Saint Leu,-21.1677694,55.2881932,locatie
85,USA,Florida,"Off Boca Grande, Lee County",27.7567667,-81.4639835,countryarea
86,AUSTRALIA,New South Wales,Tomaree,-32.7165733,152.1870489,locatie
87,USA,Hawaii,"Anaehoomalu Bay, Hawaii",19.9154922,-155.8897838,locatie
88,USA,Florida,"Jacksonville Beach, Duval County",30.2946859,-81.3931396,locatie
89,USA,Florida,"Crescent Beach, St Johns County",29.738289,-81.24230475946248,locatie
90,USA,Hawaii,"North Koahala, Big Island",19.593801499999998,-155.42837009716908,countryarea
91,USA,Hawaii,Kaiwi Channel,21.2382,-157.4815,locatie
92,CHINA,Liaoning Province,"Laohutan Ocean Park Aquarium, Dalian City",40.9975197,122.9955469,countryarea
93,USA,Hawaii,Waikoloa area,19.93970275,-155.7890169517233,locatie
94,AUSTRALIA,Queensland,Line Reef,-19.68192715,149.1995611818486,locatie
95,USA,Florida,"Hobe Sound, Martin County",27.080492,-80.13991799627857,locatie
96,MEXICO,Guerrero,Troncones,17.7801832,-101.7212243,locatie
97,USA,Hawaii,Kaiwi Channel,21.2382,-157.4815,locatie
98,USA,Florida,"Stuart Beach, Martin County",27.2256486,-80.2202114,locatie
99,USA,Oregon,"Cape Kiwanda, Tillamook County",45.2167126,-123.9803347,locatie
100,SOUTH AFRICA,Eastern Cape Province,30 nm off Port Elizabeth,-32.2171831,26.6386401,countryarea
101,AUSTRALIA,New South Wales,Belongil Bay,-28.6462405,153.5963962,locatie
102,BRAZIL,Fernando de Noronha,Cacimba do Padre,-3.8497515499999997,-32.43898607414894,locatie
103,USA,Hawaii,"Hanalei Bay, Kauai",22.21,-159.5091667,locatie
104,AUSTRALIA,New South Wales,Urunga area,-31.8759835,147.2869493,countryarea
105,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,-28.9557332,31.7565591,locatie
106,USA,Florida,Key Biscayne,25.6968351,-80.1635261,locatie
107,REUNION ISLAND,,Sainte-Rose at the mouth of Riviere de l'Est,error,error,error
108,NEW ZEALAND,South Island,Oreti Beach,-46.4387778,168.2305268,locatie
109,AUSTRALIA,Western Australia,North Cottesloe,-31.9968157,115.7609528,locatie
110,AUSTRALIA,Queensland,"Catseye Beach, Hamilton Island, Whitsundays",-22.1646782,144.5844903,countryarea
111,USA,California,"Sandspit Beach, Montaña de Oro State Park",36.7014631,-118.755997,countryarea
112,MEXICO,Sonora,Southeast of Puerto Peñasco,29.3333331,-110.6666671,countryarea
113,AUSTRALIA,New South Wales,,-31.8759835,147.2869493,area
114,NEW ZEALAND,North Island,Matauri Bay,-35.0339202,173.9110995,locatie
115,NEW ZEALAND,North Island,Ti Point,-36.3160135,174.7899404,locatie
116,AUSTRALIA,New South Wales,Nambucca,51.5610463,-0.12365679764102709,locatie
117,AUSTRALIA,Northern Territory,Off Nhulunbuy,-19.8516101,133.2303375,countryarea
118,AUSTRALIA,New South Wales,"7 Mile Beach, Gerroa",-34.7683137,150.8140296,locatie
119,SOUTH AFRICA,KwaZulu-Natal,Tinley Manor,-29.4427222,31.2404272,locatie
120,AUSTRALIA,Western Australia,"Pyramids Beach, Mandurah",-25.2303005,121.0187246,countryarea
121,BAHAMAS,Exumas,Compass Cay,24.2707658,-76.52078513640123,locatie
122,EGYPT,,Brothers' Island,44.625339749999995,-76.31670616169919,locatie
123,AUSTRALIA,New South Wales,"Shelly Beach, Ballina",-28.8628884,153.59489999931168,locatie
124,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",-22.1646782,144.5844903,countryarea
125,AUSTRALIA,Western Australia,"Guillotines surf break, Shire of Augusta Margaret River",-25.2303005,121.0187246,countryarea
126,USA,Florida,"Near Patrick AFB, Brevard County",27.7567667,-81.4639835,countryarea
127,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,locatie
128,USA,California,Farallon Islands,37.7332634,-123.0344446,locatie
129,AUSTRALIA,New South Wales,Samurai Beach,32.9950303,-117.2523168,locatie
130,NEW ZEALAND,North Island,Baylys Beach,-35.9491427,173.7496612,locatie
131,AUSTRALIA,Western Australia,Two Rocks near Three Mile Reef,-25.2303005,121.0187246,countryarea
132,USA,Florida,"Bethune Beach, Volusia County",28.9491539,-80.83783,locatie
133,AUSTRALIA,Queensland,Swain Reef,-22.1646782,144.5844903,countryarea
134,USA,North Carolina,"Bald Head Island, Brunswick County",33.8598511,-77.9895326,locatie
135,EGYPT,,Marsa Alam,25.069992,34.893817,locatie
136,USA,Florida,"St Augustine, St Johns County",29.8946952,-81.3145395,locatie
137,CHINA,Guizhou Province,Shopping mall aquarium in Guiyang City,36.0584445,120.3044896,countryarea
138,USA,New York,"Atlantique Beach, Fire Island, Suffolk County",40.6417443,-73.1728734,locatie
139,USA,New York,"Sailors Haven, Fire Island, Suffolk County",40.6573198,-73.1046727,locatie
140,USA,Texas,Galveston,29.299328,-94.7945882,locatie
141,COLOMBIA,San Andres and Providencia Archipelago,Provencia,44.14103565,4.815477131048853,locatie
142,USA,California,"Trinidad Beach, Huboldt County",36.7014631,-118.755997,countryarea
143,USA,Florida,"Playalinda Beach, Brevard County",28.6548961,-80.6308632,locatie
144,USA,Florida,"Fernandina Beach, Nassau County",30.6696818,-81.4625919,locatie
145,USA,Florida,"Fernandina Beach, Nassau County",30.6696818,-81.4625919,locatie
146,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
147,BAHAMAS,The Exuma Cays,Staniel Cay,24.1706517,-76.44158813441913,locatie
148,USA,Florida,"John Pennekamp Coral Reef State Park, Monroe County",25.12917345,-80.38655100915688,locatie
149,USA,South Carolina,Myrtle Beach,33.6956461,-78.8900409,locatie
150,USA,California,"Oceanside, San Diego County",33.1958696,-117.3794834,locatie
151,USA,Florida,"Near the Bahia Honda Bridge, Monroe County",27.7567667,-81.4639835,countryarea
152,USA,Georgia,"St. Simon Island, Glynn County",33.738743,-84.35898851883468,countryarea
153,USA,Hawaii,"Habush, Oahu",19.593801499999998,-155.42837009716908,countryarea
154,AUSTRALIA,New South Wales,Arrawarra Headland,-30.060426,153.2016851,locatie
155,MEXICO,Colima,La Ticla,18.4546571,-103.5538124,locatie
156,AUSTRALIA,New South Wales,"Flat Rock, Ballina",-28.8429552,153.6079901360164,locatie
157,BRAZIL,Pernambuco,"Piedade Beach, Recife",-8.17337955,-34.91544497000476,locatie
158,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",27.7567667,-81.4639835,countryarea
159,USA,Florida,"Cocoa Beach, Brevard County",28.3194741,-80.6102592,locatie
160,USA,Florida,"Daytona Beach, Volusia County",29.2108147,-81.0228331,locatie
161,AUSTRALIA,Queensland,Cairns Aquarium,-16.9186011,145.77365282675595,locatie
162,USA,South Carolina,"Isle of Palms, Charleston County",32.7867697,-79.7880359,locatie
163,USA,South Carolina,"Hilton Head Island, Beaufort County",32.1618488,-80.7512616,locatie
164,ENGLAND,Cornwall,Off Land's End,50.416667,-4.75,countryarea
165,AUSTRALIA,Westerm Australia,Dugong Bay,-16.39813,123.87075,locatie
166,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",-32.2171831,26.6386401,countryarea
167,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",-31.8759835,147.2869493,countryarea
168,THAILAND,Hua Hin,Sai Noi Beach,12.453577150000001,99.98164063084005,locatie
169,USA,Texas,Galveston Bay,29.5696734,-94.936592,locatie
170,COSTA RICA,Cocos Island,Manuelita,-46.6087287,-68.1931292,locatie
171,AUSTRALIA,Western Australia,Gearys Beach,50.66903,-1.5694418128292502,locatie
172,AUSTRALIA,New South Wales,Lennox Head,-28.7910334,153.5878047,locatie
173,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",-33.976757,114.9859179,locatie
174,AUSTRALIA,Western Australia,"South Point, Gracetown",-25.2303005,121.0187246,countryarea
175,MALDIVES,Alifu Alifu Atoll,Madoogali,4.09629795,72.75279703277135,locatie
176,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",-34.080205,23.371219141913983,locatie
177,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",19.593801499999998,-155.42837009716908,countryarea
178,THAILAND,Hua Hin,Sai Noi Beach,12.453577150000001,99.98164063084005,locatie
179,BRAZIL,Pernambuco,Piedade,-23.7074096,-47.4252319,locatie
180,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",-25.2303005,121.0187246,countryarea
181,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",-25.2303005,121.0187246,countryarea
182,BAHAMAS,New Providence,Nirvana Beach,36.810352800000004,28.238025155052227,locatie
183,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",-9.5151768,-35.58926946262412,locatie
184,NEW CALEDONIA,,"Magenta Beach, Noumea",-22.266050800000002,166.4722804730436,locatie
185,BAHAMAS,,Bimini,25.70318795,-79.28145926583792,locatie
186,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,-34.171676,24.832916,locatie
187,USA,Hawaii,Kukio Beach,19.820202000000002,-155.99747941445798,locatie
188,AUSTRALIA,Western Australia,Waterman's Bay,27.9963768,-80.6571157,locatie
189,AUSTRALIA,Victoria,Lorne,45.4274311,-62.703668,locatie
190,AUSTRALIA,Victoria,Winkipop,-38.2280117,144.3390979,locatie
191,SOUTH AFRICA,KwaZulu-Natal,Durban,-29.861825,31.009909,locatie
192,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse",-33.99139545,151.2382961131534,locatie
193,AUSTRALIA,Victoria,Westernport Bay,-38.31984,145.20737,arealoc
194,AUSTRALIA,New South Wales,"Surf Beach, Kiama",-34.67633885,150.85455902996785,locatie
195,AUSTRALIA,Queensland,Mooloolaba Beach,-26.68113375,153.12189732459677,locatie
196,BRAZIL,"Boi Island, Victoria",Espirito Santo,-19.5687682,-40.1721991,locatie
197,ECUADOR,Galapagos Islands,Santa Fe Island,42.1291881,-90.1915172,locatie
198,AUSTRALIA,Western Australia,"Avalon Point, Manurah",-25.2303005,121.0187246,countryarea
199,AUSTRALIA,Western Australia,Cone Bay,47.9540577,-90.6912244,locatie
200,NEW CALEDONIA,,Nouville,-22.2649896,166.40190174956027,locatie
201,AUSTRALIA,Queensland,Lizard Island,-14.6683188,145.4609161,locatie
202,AUSTRALIA,New South Wales,Martin Islet,-20.28572705,149.0686452163714,locatie
203,BRAZIL,Fernando de Noronha,Conceicao Beach,37.13437935,-7.5903248984594605,locatie
